remove	english	donor	remove_uses	keep	keep_uses	caution
xalk	family; village	Arabic	205	álum; xáhot	16; 8	loan used 205x vs native 16x
vaxt	time	Arabic	107	daor	4	loan used 107x vs native 4x
kul	all	Arabic	83	ģuŧ; muc	13; 25	loan used 83x vs native 25x; native gloss broad — check the sense
juán	good; okay; well	Balochi	80	dún; joŕ; juání-aŧ; juáníká; ki are; kúh; xaer; yańra; yańran; yarań	34; 1; 6; 1; 7; 2; 28; 15; 1; 2	loan used 80x vs native 34x; 10 candidates — pick one; candidate is built on the loan's own root
bíbí	lady	Urdu	74	godí	27	loan used 74x vs native 27x
zind	life	Farsi	63	ján; sá; sah; sáh; vagr	41; 9; 2; 3; 1	loan used 63x vs native 41x; 5 candidates — pick one; native gloss broad — check the sense
na	neither; nor	Farsi	54	nae	5	loan used 54x vs native 5x
xuája	sir; lord; owner	Farsi	53	báva-lumma	8	loan used 53x vs native 8x
jága	place	Hindi-Urdu	50	hand	12	loan used 50x vs native 12x
dunyá	world; society; money	Arabic	43	kúŕí; zar	1; 18	loan used 43x vs native 18x
vár	time; turn; mood	Hindi-Urdu	40	daor; sir; vák	4; 1; 1	loan used 40x vs native 4x; 3 candidates — pick one
şakar	sweet	Farsi	38	hanen	8	loan used 38x vs native 8x
jańg	fight; battle	Farsi	35	cikk o táŕ	1	loan used 35x vs native 1x; native barely attested
guđ	after	Balochi	31	pad; padá	37; 29	
xuaş	happy	Farsi	25	cúr; galán	4; 1	loan used 25x vs native 4x
hak	right	Arabic	24	rástíko	3	loan used 24x vs native 3x
mehr	love	Farsi	22	mehr o mábat	1	loan used 22x vs native 1x; native barely attested; candidate is built on the loan's own root
xiyál	attention; idea; thought; state of mind	Arabic	22	sud; xiyáldárí; cakkar; geg; curt; gaŕtí; ŧak	2; 3; 10; 2; 3; 2; 2	loan used 22x vs native 10x; 7 candidates — pick one; candidate is built on the loan's own root
zebá	beautiful	Farsi	22	zebal; zebdár	2; 1	loan used 22x vs native 2x; native barely attested; candidate is built on the loan's own root
band	closed; used up; vital	Farsi	21	muc; tar	25; 7	native gloss broad — check the sense
yax	coldness	Farsi	20	yaxxí	1	loan used 20x vs native 1x; native barely attested; candidate is built on the loan's own root
armán	hope; yearning; aspiration; grief; regret	Farsi	19	hiđđiká	1	loan used 19x vs native 1x; native barely attested
soc	thought	Hindi-Urdu	19	curt; gaŕtí; ŧak	3; 2; 2	loan used 19x vs native 3x; 3 candidates — pick one
yár	friend	Farsi	19	ambal; belí; gáda	56; 0; 3	3 candidates — pick one
ziyát	more	Arabic	19	battir	1	loan used 19x vs native 1x; native barely attested
jí	yes	Hindi-Urdu	18	belí; há; hán; hao; hau	11; 32; 7; 29; 0	5 candidates — pick one
máí	lady	Hindi-Urdu	18	godí	27	
pír	aged; old	Farsi	18	mutkun	7	loan used 18x vs native 7x
dín	faith	Arabic	17	sixt	2	loan used 17x vs native 2x; native barely attested
kissa	story; gossip	Arabic	17	hít	157	
nazar	look; eye; viewpoint; perspective	Arabic	17	xan	109	
saxt	tight; tough; extremely	Farsi	17	gʰaŧ	1	loan used 17x vs native 1x; native barely attested
áxir	finally; eventually	Arabic	16	guđsará; hala o hala	0; 1	loan used 16x vs native 1x; native barely attested
baccú	son	Farsi	16	maļ; már; moŧo	3; 131; 1	3 candidates — pick one
đas	advice,clue,whereabouts	Balochi	16	pant	1	loan used 16x vs native 1x; native barely attested
kam	little	Farsi	16	cunak	7	loan used 16x vs native 7x
majlis	meeting; party	Arabic	16	kacárí	17	
ásmán	heaven; sky	Farsi	15	buŕz	13	loan used 15x vs native 13x
gáŧ	guard	English	15	sipáí	8	loan used 15x vs native 8x
