brahui	english	donor	frequency	native_alternatives
ábád	populated; cultivated; prosperous	Farsi	10	vasam
acának	suddenly	Hindi-Urdu	1	nágumán-á; náhimgán-ná; salá-balá
adá	brother; guys; sir	Sindhi	5	ílum; báva-lumma
aeb	fault	Arabic	1	bala
aesás	sense of touch; feeling	Arabic	1	kac
ahvál	news	Arabic	10	đha; havál
áhvál	news	Arabic	6	đha; havál
áhválakárí	publicity; press	Balochi	1	dab tin-ińg
ájo	free	Balochi	7	yala; yalaí
amán	safety; protection	Arabic	6	rak
amír	rich; respectable	Arabic	5	mír
amn-emní	peace	Arabic	1	xaer
andar	hiding; inside	Farsi	1	andarí; tah; tahŧí; teh
ańjám	promise; date	Arabic	1	mann-ińg
aoliád	children	Arabic	3	zehzád
aosar	boss	English	3	báva
aŕdosar	both	Farsi	5	aŕtomá; haŕtoká; haŕtomá; tomká
armán	hope; yearning; aspiration; grief; regret	Farsi	19	hiđđiká
áşik	lover; crush	Arabic	5	gáda
ásmán	heaven; sky	Farsi	15	buŕz
ásopáso	vicinity	Sindhi	1	xuŕk
aval	first	Arabic	11	aolíko; avalmíko; avlíko
ávál	news	Arabic	3	đha; havál
axir	finally; maybe	Arabic	6	guđsará; hala o hala; balki; balkin; bar ki; cá-va; diccá; hae ki; navá; yańra; yańran
áxir	finally; eventually	Arabic	16	guđsará; hala o hala
áxubat	future	Arabic	4	mon
ázát	free	Farsi	2	yala; yalaí
bábá	dear	Farsi	5	abá; bevas; ģaríb; ján
bábú	learned man; sir	Hindi-Urdu	7	báva-lumma
baccú	son	Farsi	16	maļ; már; moŧo
bad	bad; wrong	Farsi	5	lunđ
bad	anger	Farsi	0	xár
badal	change	Urdu	12	maŧ
badan	body	Arabic	8	ján; jind; jon
badrú	bad	Farsi	1	lunđ
baģal	side	Farsi	10	guar; gurá; nem; pánád; páraģ; pʰálú; ra; rah; rahí; raí
bálişt	pillow	Farsi	2	baŕzí
bálŧín	bucket	Urdu	3	caŕah; urullá
band	closed; used up; vital	Farsi	21	muc; tar
barábar	correct; exactly; flat	Farsi	3	safá; ŧák; patan; thápal; tikka
bardáşt	fortitude	Farsi	1	sag
barebar	equal	Farsi	3	siyál
barjá	start	Balochi	5	harf-ińg; lagg-ińg; peş tamm-ińg
bázár	market	Farsi	8	piŕí
bezár	desperate; disappointed	Farsi	2	đukkiá
bíbí	lady	Urdu	74	godí
bij	seed	Hindi-Urdu	3	gađđa
biná	beginning; start	Balochi	9	harf-ińg; lagg-ińg; peş tamm-ińg
birádarí	company; relative	Farsi	1	siyál; tenáí
biyábaxaer	welcome	Farsi	1	ba xaeraŧ
bo	smell	Farsi	3	zabád
bolí	talk; dialect	Hindi-Urdu	1	báduví
búŧí	piece	Hindi-Urdu	1	bur; cunđ; gappal; kaŕo; ŧukkar; ŧukkur
cakkul	spring	Balochi	11	hatam
camk-ińg	to shine	Farsi	2	cimikk-ińg; jarakk-ińg; jirikk-ińg
cammakk-ińg	to shine	Farsi	1	cimikk-ińg; jarakk-ińg; jirikk-ińg
candí	several	Farsi	10	kehí
cándí	silver	Hindi-Urdu	2	píhun
capla	slap	Farsi	2	capánŧ
cappal	sandal	Hindi-Urdu	1	cavaŧ
carx	circle	Farsi	1	pʰerí
cáxú	knife	Farsi	3	kattár
cehra	face	Farsi	2	búz; mon
ciráģ	lamp	Farsi	7	battí; sor
cokará	boy	Sindhi	1	már
dam	breath	Farsi	4	sá; sáh
dána	fruit; piece; grain	Farsi	8	bur; cunđ; gappal; kaŕo; ŧukkar; ŧukkur
dáná	wise	Farsi	6	guşáda
dáńh	grumble	Sindhi	1	raŧ-ińg
